Top pages,Clicks,Impressions,CTR,Position
https://thinkbynumbers.org/federal-reserve/zombie-companies-will-lead-to-americas-lost-decade/,0,22,0%,35.77
https://thinkbynumbers.org/privacy-policy-2/,0,21,0%,7.29
https://thinkbynumbers.org/tag/utilitarianism/,0,19,0%,74.32
https://thinkbynumbers.org/tag/robert-pape/,0,19,0%,82.26
https://thinkbynumbers.org/economics/household-debt-to-gdp-ratio-100/,0,18,0%,6.11
https://thinkbynumbers.org/category/utilitarianism/,0,17,0%,7.53
https://thinkbynumbers.org/tag/economics-2/,0,17,0%,9.41
https://thinkbynumbers.org/economics/when-the-government-prints-new-money-who-gets-it/,0,17,0%,10.65
https://thinkbynumbers.org/government-spending/cbs-news-2-3-trillion-missing-from-pentagon/,0,17,0%,54.24
https://thinkbynumbers.org/statistical-cost-benefit-analysis-vs-irrational-emotion/,0,16,0%,4.94
https://thinkbynumbers.org/feed/podcast/,0,16,0%,5.19
https://thinkbynumbers.org/science/theres-about-a-0-1-chance-that-covid-19-coincidentally-arose-in-nature-near-near-the-wuhan-institute-of-virology/,0,15,0%,9.53
https://thinkbynumbers.org/economics/4-trillion-printed-in-2020-went-entirely-to-the-top-1-percent/,0,15,0%,46.73
https://thinkbynumbers.org/economics/wealth-inequality-in-america/,0,14,0%,16.57
https://thinkbynumbers.org/subscribe/,0,13,0%,3.85
https://thinkbynumbers.org/tag/government-spending/,0,13,0%,14.54
https://thinkbynumbers.org/page/10/,0,12,0%,4.42
https://thinkbynumbers.org/category/taxes/,0,12,0%,6.83
https://thinkbynumbers.org/health/americans-spend-more-on-weight-loss-products-than-it-would-take-to-end-world-hunger/,0,12,0%,13.75
https://thinkbynumbers.org/psychology/myth-free-will/,0,11,0%,4.55
https://thinkbynumbers.org/tag/featured/,0,11,0%,5.09
https://thinkbynumbers.org/category/empiricism-2/,0,11,0%,11.73
https://thinkbynumbers.org/military/we-have-enough-nuclear-bombs-to-kill-everyone-on-the-planet-2-6-times/,0,11,0%,67.09
https://thinkbynumbers.org/economics/long-run-trends-in-human-well-being/,0,10,0%,3.9
https://thinkbynumbers.org/category/healthcare/,0,9,0%,7.33
https://thinkbynumbers.org/category/democracy/,0,9,0%,7.67
https://thinkbynumbers.org/freedom-of-speech/world-press-and-pothi-freedom-index/,0,9,0%,8.44
https://thinkbynumbers.org/category/financial-sector/,0,9,0%,15.89
https://thinkbynumbers.org/military/military-industrial-complex-funnels-wealth-to-4-counties/,0,8,0%,5.62
https://thinkbynumbers.org/category/military/,0,8,0%,8.5
https://thinkbynumbers.org/category/economics/,0,8,0%,8.62
https://thinkbynumbers.org/wp-content/uploads/2020/09/public-support-for-american-revolution-pie-chart.png,0,8,0%,9.88
https://thinkbynumbers.org/economics/historical-examples-show-government/,0,8,0%,30.12
https://thinkbynumbers.org/economics/ideal-level-of-government-spending/,0,7,0%,7.14
https://thinkbynumbers.org/tag/democracy/,0,7,0%,9.43
https://thinkbynumbers.org/tag/slider/,0,7,0%,9.43
https://thinkbynumbers.org/tag/ccrowdsourcing/,0,7,0%,15.71
https://thinkbynumbers.org/terrorism/suicide-terrorism-statistics/,0,6,0%,6.17
https://thinkbynumbers.org/tag/steven-pinker/,0,6,0%,6.33
https://thinkbynumbers.org/category/economics/gdp/,0,6,0%,6.67
https://thinkbynumbers.org/tag/government/,0,6,0%,7
https://thinkbynumbers.org/uncategorized/fda-fails-to-apply-basic-rational-cost-benefit-analysis-to-regulatory-decisions/,0,6,0%,7
https://thinkbynumbers.org/military/fraudulent-defense-contractors-paid-1-trillion/,0,6,0%,7.67
https://thinkbynumbers.org/tools/algonomy-a-framework-for-dealing-with-suffering/,0,6,0%,15
https://thinkbynumbers.org/debt/debt-to-gdp-forecast-chart/,0,6,0%,75.67
https://thinkbynumbers.org/category/government-spending/corporate-welfare/,0,5,0%,6
https://thinkbynumbers.org/economics/bottled-water-costs-40x-more-why-dont-poor-areas-have-water-plants/,0,5,0%,6.6
https://thinkbynumbers.org/tag/corporate-welfare-2/,0,5,0%,8.2
https://thinkbynumbers.org/productivity/prioritize-your-to-do-list-by-converting-to-present-value/,0,5,0%,10
https://thinkbynumbers.org/monkey-business/the-kids-today-need-to-learn-their-mathematics-ya-see/,0,5,0%,12
https://thinkbynumbers.org/category/debt/,0,5,0%,13.6
https://thinkbynumbers.org/politics/vote/,0,5,0%,13.6
https://thinkbynumbers.org/health/only-0-000000002-of-potential-treatments-have-been-studied/,0,5,0%,30
https://thinkbynumbers.org/category/government-spending/,0,4,0%,4.25
https://thinkbynumbers.org/politics/a-utilitarian-party-platform/,0,4,0%,5
https://thinkbynumbers.org/government-spending/the-solution-to-every-problem-in-the-world/,0,4,0%,5.75
https://thinkbynumbers.org/economics/a-world-run-by-economists/,0,4,0%,8.5
https://thinkbynumbers.org/category/politics/,0,4,0%,11.75
https://thinkbynumbers.org/category/statistics/,0,4,0%,14.5
https://thinkbynumbers.org/tag/investing/,0,4,0%,18.25
https://thinkbynumbers.org/taxes/a-more-progressive-tax-system-makes-people-happier/,0,4,0%,25.25
https://thinkbynumbers.org/government-spending/corporate-welfare/voters-cu-corporate-welfare-programs-as-a-good-place-to-cut-government-spending-rasmussen-reports/,0,4,0%,25.5
https://thinkbynumbers.org/terrorism/iran-terrorism-history/,0,4,0%,51
https://thinkbynumbers.org/government-spending/john-stossel-bailouts-and-bull/,0,4,0%,63.25
https://thinkbynumbers.org/tag/economy/,0,3,0%,5
https://thinkbynumbers.org/healthcare/more-upward-wealth-redistribution-from/,0,3,0%,6
https://thinkbynumbers.org/tag/fda-cost-benefit-analysis/,0,3,0%,6.67
https://thinkbynumbers.org/utilitarianism/is-it-morally-optimal-to-rescue-a-cat-from-the-pound/,0,3,0%,8.33
https://thinkbynumbers.org/democracy/unrepresentative-democracy-government-by-millionaires-for-millionaires/,0,3,0%,12
https://thinkbynumbers.org/category/health/,0,3,0%,15.33
https://thinkbynumbers.org/category/science/,0,3,0%,19
https://thinkbynumbers.org/tag/lobbying/,0,3,0%,21.33
https://thinkbynumbers.org/tag/irs/,0,3,0%,23.67
https://thinkbynumbers.org/tag/military-spending/,0,3,0%,35.33
https://thinkbynumbers.org/tag/libertarianism/,0,3,0%,46
https://thinkbynumbers.org/politics/most-voters-believe-their-own-party-will-win/,0,2,0%,1.5
https://thinkbynumbers.org/tag/financial-industry-gdp/,0,2,0%,2.5
https://thinkbynumbers.org/tag/gdp-share/,0,2,0%,3.5
https://thinkbynumbers.org/economics/how-to-protect-yourself-against-the-invisible-inflation-burglar/,0,2,0%,4.5
https://thinkbynumbers.org/author/admin/page/10/,0,2,0%,6.5
https://thinkbynumbers.org/tag/clinical-research/,0,2,0%,7.5
https://thinkbynumbers.org/economics/gdp-and-you/,0,2,0%,8
https://thinkbynumbers.org/page/7/?cat=rwjtqctz&SuperSocializerAuth=LiveJournal,0,2,0%,9
https://thinkbynumbers.org/tag/banks/,0,2,0%,11
https://thinkbynumbers.org/wp-content/uploads/2009/04/aig-bailout-timeline.jpg,0,2,0%,11
https://thinkbynumbers.org/government-spending/how-much-does-the-government-spend-per-person/,0,2,0%,12.5
https://thinkbynumbers.org/wp-content/uploads/2020/09/global-trends-in-gdp-and-democracy-1500-2000-chart.png,0,2,0%,19
https://thinkbynumbers.org/2012/01/,0,2,0%,25
https://thinkbynumbers.org/tag/inflation/,0,2,0%,26
https://thinkbynumbers.org/tag/election/,0,2,0%,27
https://thinkbynumbers.org/tag/aig/,0,2,0%,29
https://thinkbynumbers.org/tag/epidemiology/,0,2,0%,33
https://thinkbynumbers.org/category/psychology/,0,2,0%,34
https://thinkbynumbers.org/tag/counterfeiting/,0,2,0%,35
https://thinkbynumbers.org/tag/fda/,0,2,0%,36
https://thinkbynumbers.org/tag/iran/,0,2,0%,37
https://thinkbynumbers.org/category/federal-reserve/,0,2,0%,41
https://thinkbynumbers.org/tag/wall-st/,0,2,0%,42
https://thinkbynumbers.org/healthcare/depression-rates-correlate-highly-with-changes-in-diet-and-autoimmune-disease/,0,2,0%,44
https://thinkbynumbers.org/tag/war-2/,0,2,0%,44
https://thinkbynumbers.org/tag/federal-reserve/,0,2,0%,46
https://thinkbynumbers.org/drug-war/drug-war-statistics/,0,2,0%,48.5
https://thinkbynumbers.org/category/military/war/,0,2,0%,53
https://thinkbynumbers.org/military/war/posts/,0,2,0%,80
https://thinkbynumbers.org/category/solutions/,0,1,0%,1
https://thinkbynumbers.org/debt/debt-swell-top-gop-hopefuls-tax-plans/,0,1,0%,1
https://thinkbynumbers.org/tag/money-supply/,0,1,0%,1
https://thinkbynumbers.org/tag/satire/,0,1,0%,1
https://thinkbynumbers.org/tag/support-our-troops/,0,1,0%,1
https://thinkbynumbers.org/category/books/,0,1,0%,2
https://thinkbynumbers.org/wp-content/uploads/powerpress/Think-by-Numbers-Podcast-Profile-Logo-3000-3000.jpg,0,1,0%,2
https://thinkbynumbers.org/author/admin/page/2/,0,1,0%,3
https://thinkbynumbers.org/tag/budget-deficit/,0,1,0%,4
https://thinkbynumbers.org/tag/solution-to-financial-crisis/,0,1,0%,4
https://thinkbynumbers.org/tag/public-health/,0,1,0%,5
https://thinkbynumbers.org/tag/terrorism-2/,0,1,0%,7
https://thinkbynumbers.org/tag/terrorist-attacks/,0,1,0%,7
https://thinkbynumbers.org/category/economics/page/3/,0,1,0%,8
https://thinkbynumbers.org/tag/consumer-debt/,0,1,0%,8
https://thinkbynumbers.org/terrorism/muslims-terrorists-terrorists-muslims/,0,1,0%,8
https://thinkbynumbers.org/wp-content/uploads/2009/04/aig-bailout-infographic.jpg,0,1,0%,8
https://thinkbynumbers.org/tag/decision-making/,0,1,0%,10
https://thinkbynumbers.org/tag/subsidies/,0,1,0%,10
https://thinkbynumbers.org/tag/the-strategic-logic-of-suicide-terrorism/,0,1,0%,10
https://thinkbynumbers.org/wp-content/uploads/2024/11/image.png,0,1,0%,10
https://thinkbynumbers.org/wp-content/uploads/2020/07/money-printer-go-brr-photo.gif,0,1,0%,11
https://thinkbynumbers.org/wp-content/uploads/2024/11/image-1.png,0,1,0%,11
https://thinkbynumbers.org/wp-content/uploads/2011/09/The-Triune-Brain-Final-web.jpg,0,1,0%,15
https://thinkbynumbers.org/wp-content/uploads/2011/09/erlauer2003_fig1.1.gif,0,1,0%,16
https://thinkbynumbers.org/financial-sector/monetary-system-steals-poor-rich/,0,1,0%,18
http://thinkbynumbers.org/wp-content/uploads/2008/03/energy-subsidies-chart.jpg,0,1,0%,19
https://thinkbynumbers.org/wp-content/uploads/2009/04/NYUGDPFinancialShare.jpg,0,1,0%,20
https://thinkbynumbers.org/wp-content/uploads/2020/04/sp-500-vs-corporate-profits-after-tax-2020-1.png,0,1,0%,26
https://thinkbynumbers.org/wp-content/uploads/2021/04/american-bases-in-middle-east_720x445.jpg,0,1,0%,27
https://thinkbynumbers.org/health/fecal-transplant-reduces-autism-symptoms-45/,0,1,0%,42
https://thinkbynumbers.org/tag/cognitive-bandwidth/,0,1,0%,82
https://thinkbynumbers.org/tag/millionaires-in-congress/,0,1,0%,174
