Top queries,Clicks,Impressions,CTR,Position
could the american revolution have been avoided,0,6,0%,83.17
wisdom of the crowds,0,6,0%,88.83
aig bailout,0,6,0%,96.83
pop of us,0,5,0%,2
fecundity bentham,0,5,0%,8.4
utilitarian calculation,0,5,0%,11.6
bentham's calculus of felicity,0,5,0%,11.8
population of the usa in 1776,0,5,0%,12
bentham's hedonic calculus,0,5,0%,13.8
jeremy bentham hedonistic calculus,0,5,0%,30.8
codegen eu,0,5,0%,41
what is hedonistic calculus,0,5,0%,43.6
corporate welfare definition,0,5,0%,55
what was the world population in 1776,0,5,0%,71.8
us population by year since 1776,0,5,0%,72.2
wisdom of crowds examples,0,5,0%,79.8
define corporate welfare,0,5,0%,80
population of 13 colonies in 1776,0,5,0%,92.2
9/11 deaths total,0,4,0%,1
luke muehlhauser,0,4,0%,1
how many people were alive in 1776,0,4,0%,1.5
when were all 50 states established,0,4,0%,1.5
us population 2025,0,4,0%,2
population of usa in 1940,0,4,0%,3
us population 1960,0,4,0%,3
us population in 1860,0,4,0%,3
jeremy bentham hedonic calculus,0,4,0%,4.25
stock correction,0,4,0%,4.5
moral calculation,0,4,0%,8
us population over time since 1776,0,4,0%,8
calculo felicífico,0,4,0%,8.75
mike sinn,0,4,0%,10.25
what was us population in 1776,0,4,0%,10.25
jeremy bentham hedonistic calculus definition,0,4,0%,12.25
what was the estimated population of the us in 1776,0,4,0%,13
what is hedonic calculus,0,4,0%,26.25
3.5 percent of us population,0,4,0%,38.75
free 23andme analysis,0,4,0%,40.25
what are corporate subsidies,0,4,0%,46.25
corporate welfare meaning,0,4,0%,65.5
how much do corporate subsidies cost taxpayers,0,4,0%,73.75
3.5 rule,0,4,0%,77.25
why did aig fail,0,4,0%,78
dying to win robert pape,0,4,0%,80.75
is terrorism just as big of a problem as cancer,0,4,0%,82.25
population of us colonies in 1776,0,4,0%,85.75
23andme raw data interpretation,0,4,0%,86
the human cost of wwi was,0,4,0%,87
stock market obama vs trump,0,4,0%,95.25
9 11 number of deaths,0,3,0%,1
9/11 fatalities,0,3,0%,1
us military budget vs world,0,3,0%,1
hedonic calculus definition,0,3,0%,2
us population 1983,0,3,0%,2.33
us population 1850,0,3,0%,3
us population 1870,0,3,0%,3
us population 1940,0,3,0%,3
felicif,0,3,0%,7
financial sector,0,3,0%,7.67
how much time can tax automation save,0,3,0%,10.33
fecundity,0,3,0%,12.33
u.s. population 1776,0,3,0%,15.67
hedonistic calculus bentham,0,3,0%,16
bentham calculus,0,3,0%,19
corporate welfare vs social welfare pie chart 2023,0,3,0%,20.67
what is 3.5 percent of us population,0,3,0%,25.67
fecundity in ethics,0,3,0%,28.67
what was the population of the usa in 1776,0,3,0%,36
what is 3.5 percent of the us population,0,3,0%,37.67
michael sinn,0,3,0%,38.67
hedonic calculus meaning,0,3,0%,41.67
enlis genomics,0,3,0%,44
how much is spent on corporate welfare,0,3,0%,48.33
hedonic calculus example,0,3,0%,48.67
what is corporate subsidies,0,3,0%,48.67
fun facts about iraq,0,3,0%,53.67
population of the world in 1776,0,3,0%,55.33
america population 1776,0,3,0%,58.67
donald rumsfeld 2.3 trillion,0,3,0%,59.33
hedonistic calculus meaning,0,3,0%,59.67
interpreting 23andme raw data,0,3,0%,74.33
how much money was printed in 2020,0,3,0%,75.33
human cost of war,0,3,0%,82.67
what is the cost of war,0,3,0%,87
3.5 percent,0,3,0%,89.33
war cost,0,3,0%,92
9 11 total deaths,0,2,0%,1
bentham hedonistic calculus,0,2,0%,1
fatalities 9/11,0,2,0%,1
wealth inequality in america 2025,0,2,0%,1
what was the population in,0,2,0%,1
when was united states established,0,2,0%,1
when was us established,0,2,0%,1
how many people live in the us,0,2,0%,2
us population 1980,0,2,0%,2
us population in 1980,0,2,0%,2
what was the us population in 1940,0,2,0%,2
how many people in america,0,2,0%,2.5
what is the population of the united states of america?,0,2,0%,2.5
population of the united states in 1900,0,2,0%,3
uk population in 1776,0,2,0%,3
united states population in 1950,0,2,0%,3
us population 1860,0,2,0%,3
us population 1920,0,2,0%,3
us population 1939,0,2,0%,3
us population 1941,0,2,0%,3
us population 1954,0,2,0%,3
us population in 1963,0,2,0%,3
what is the estimated population of the united states,0,2,0%,3
what was the population of the united states in 1800,0,2,0%,3
what was the population of the united states in 1945,0,2,0%,3
what was the population of the united states in 1950,0,2,0%,3
what was the population of the united states in 1970,0,2,0%,3
what was the us population in 1970,0,2,0%,3
what was us population in 1860,0,2,0%,3
felicific calculus definition,0,2,0%,3.5
us military compared to other countries,0,2,0%,4.5
market correction,0,2,0%,6.5
america population 2025,0,2,0%,7.5
utilitarianism formula,0,2,0%,9
hedonistic calculator,0,2,0%,10
felicific calculus in utilitarianism,0,2,0%,10.5
felific,0,2,0%,11
subconscious information processing,0,2,0%,11.5
what was the population of the united states in 1776?,0,2,0%,11.5
bill cos b,0,2,0%,12.5
fecundity hedonic calculus,0,2,0%,14.5
corporate welfare vs social welfare pie chart 2025,0,2,0%,15
subconscious processing,0,2,0%,22.5
what is 3.5 of the us population,0,2,0%,23
world population in 1776,0,2,0%,29
what is 3.5 of us population,0,2,0%,33
subconscious processes,0,2,0%,36
corporate wellfare,0,2,0%,48.5
how much does corporate welfare cost taxpayers,0,2,0%,59.5
are there enough nukes to destroy the world,0,2,0%,69
how much do wars cost,0,2,0%,71
do we have enough nukes to destroy the world,0,2,0%,72
how much does the usps cost taxpayers,0,2,0%,73
aig bankruptcies,0,2,0%,75.5
how much does a war cost,0,2,0%,76.5
the human cost of war,0,2,0%,77
how much does war cost,0,2,0%,78
population of 13 colonies in 1776 by state,0,2,0%,79.5
wisdom of crowds,0,2,0%,84
aig fp,0,2,0%,85
robert a pape,0,2,0%,88
wisdom of crowds theory,0,2,0%,88.5
wealth division in america,0,2,0%,89.5
how much money has been printed since 2020,0,2,0%,91
population of us in 1787,0,2,0%,91
stock market performance obama vs trump,0,2,0%,94
why is junk dna potentially a misnomer,0,2,0%,96
23andme raw genetic data interpretation,0,2,0%,96.5
how much does it cost to develop a new drug,0,2,0%,96.5
examples of government intervention in the economy,0,2,0%,98
23andme interpretation,0,2,0%,98.5
what was the population of new york in 1776,0,2,0%,98.5
9 11 fatalities,0,1,0%,1
america population in 1776,0,1,0%,1
america's wealth distribution,0,1,0%,1
armey,0,1,0%,1
average cost per share,0,1,0%,1
bill vs law,0,1,0%,1
fatalities of 9 11,0,1,0%,1
federal reserve meme,0,1,0%,1
federal reserve memes,0,1,0%,1
hedonic calculus 7 elements,0,1,0%,1
how many people lived in america in 1776,0,1,0%,1
how many people were in the united states in 1776,0,1,0%,1
how much did ww1 cost in today's money,0,1,0%,1
how much does us spend on military,0,1,0%,1
martin gilens,0,1,0%,1
morality equation,0,1,0%,1
nasdaq vs dow jones,0,1,0%,1
nasdaq vs dow jones vs s&p 500,0,1,0%,1
nasdaq vs dow vs s&p,0,1,0%,1
population of the united states in 1940,0,1,0%,1
population of u.s. in 1776,0,1,0%,1
population united states 1940,0,1,0%,1
profits in the stock market,0,1,0%,1
social welfare graph,0,1,0%,1
stock market correction,0,1,0%,1
stocks profit,0,1,0%,1
u.s. military budget vs world,0,1,0%,1
united states gdp by sector,0,1,0%,1
us economy by sector,0,1,0%,1
us gdp contribution by sector,0,1,0%,1
us military budget compared to other countries,0,1,0%,1
us military budget compared to the world,0,1,0%,1
us military population,0,1,0%,1
us military spending breakdown,0,1,0%,1
us population 1820,0,1,0%,1
what does the us spend money on,0,1,0%,1
what does the us spend the most money on,0,1,0%,1
what is market correction,0,1,0%,1
what is the population of the us,0,1,0%,1
what percent of us budget is military,0,1,0%,1
what was the population of america,0,1,0%,1
what was the population of the,0,1,0%,1
what was the population of the united states,0,1,0%,1
what was the population of usa in 1776,0,1,0%,1
what year was the united states established,0,1,0%,1
when was all 50 states established,0,1,0%,1
year united states was founded,0,1,0%,1
current us population,0,1,0%,2
pop usa,0,1,0%,2
population of calumet michigan,0,1,0%,2
population of usa 2025,0,1,0%,2
the population of the united states,0,1,0%,2
total us population 2025,0,1,0%,2
u s population 2025,0,1,0%,2
u.s. population 1980,0,1,0%,2
us population 1975,0,1,0%,2
us population 1976,0,1,0%,2
us population 1982,0,1,0%,2
us population 2020,0,1,0%,2
us population in 1975,0,1,0%,2
what % of the world population is white,0,1,0%,2
what is population of united states,0,1,0%,2
what percentage of the world is white,0,1,0%,2
what was the us population in 1980,0,1,0%,2
what was the world population in 2000,0,1,0%,2
what’s the population of the united states?,0,1,0%,2
1860 population,0,1,0%,3
all the middle colonies,0,1,0%,3
america population in 1800,0,1,0%,3
american population 1950,0,1,0%,3
earth population 2025,0,1,0%,3
earth's population 2025,0,1,0%,3
global military budgets,0,1,0%,3
how many americans have there been,0,1,0%,3
how many people is there in the world in 2025,0,1,0%,3
how many people were in the us in 1860,0,1,0%,3
how many people were in the world in 1776,0,1,0%,3
population in 1950,0,1,0%,3
population in america by year,0,1,0%,3
population of america in 1930,0,1,0%,3
population of nyc in 1776,0,1,0%,3
population of the united states in 1800,0,1,0%,3
population of the united states in 1860,0,1,0%,3
population of the united states of america,0,1,0%,3
population of the us in 1900,0,1,0%,3
population of the us in 1970,0,1,0%,3
population of united states in 1800,0,1,0%,3
population of united states in 1900,0,1,0%,3
population of us 1920,0,1,0%,3
population of us in 1850,0,1,0%,3
population of us in 1860,0,1,0%,3
population of us in 1880,0,1,0%,3
population of us in 1940,0,1,0%,3
population of us in 1950,0,1,0%,3
population of us in 1970,0,1,0%,3
population of usa 1850,0,1,0%,3
population of usa in 1900,0,1,0%,3
population of usa in 1920,0,1,0%,3
population of usa in 1944,0,1,0%,3
the earth's population 2025,0,1,0%,3
the united states population,0,1,0%,3
u.s. population 1850,0,1,0%,3
u.s. population 1870,0,1,0%,3
u.s. population 1920,0,1,0%,3
u.s. population 1950,0,1,0%,3
u.s. population 2025,0,1,0%,3
u.s. population in 1960,0,1,0%,3
united states population 1800,0,1,0%,3
united states population 1970,0,1,0%,3
united states population in 1860,0,1,0%,3
us population 1790,0,1,0%,3
us population 1946,0,1,0%,3
us population 1948,0,1,0%,3
us population 1952,0,1,0%,3
us population 1957,0,1,0%,3
us population 1962,0,1,0%,3
us population 1968,0,1,0%,3
us population 1970,0,1,0%,3
us population 2000,0,1,0%,3
us population census 2020,0,1,0%,3
us population during revolutionary war,0,1,0%,3
us population in 1900,0,1,0%,3
us population in 1930,0,1,0%,3
us population in 1942,0,1,0%,3
us population in 1945,0,1,0%,3
us population in 1952,0,1,0%,3
us population in 1959,0,1,0%,3
us population in 1960,0,1,0%,3
us population in 1962,0,1,0%,3
usa population in 1850,0,1,0%,3
usa population in 1970,0,1,0%,3
what is the united states population,0,1,0%,3
what was the american population in 1860,0,1,0%,3
what was the population of the united states in 1900,0,1,0%,3
what was the population of the united states in 1920,0,1,0%,3
what was the population of the united states in 1940,0,1,0%,3
what was the population of the united states in 1941,0,1,0%,3
what was the population of the united states in 1955,0,1,0%,3
what was the population of the united states in 1963,0,1,0%,3
what was the population of the united states in 1965,0,1,0%,3
what was the population of the us in 1940,0,1,0%,3
what was the population of the us in 1941,0,1,0%,3
what was the population of the us in 1960,0,1,0%,3
what was the population of usa in 1940,0,1,0%,3
what was the us population in 1800,0,1,0%,3
what was the us population in 1860,0,1,0%,3
what was the us population in 1890,0,1,0%,3
what was the us population in 1900,0,1,0%,3
what was the us population in 1945,0,1,0%,3
what was the us population in 1960,0,1,0%,3
what was the us population in 1975,0,1,0%,3
what was the world's population in 1776,0,1,0%,3
what will the population be in 4000,0,1,0%,3
world population 1900,0,1,0%,3
population of us over time,0,1,0%,4
us population over the years,0,1,0%,4
subconscious vs conscious,0,1,0%,5
"the unconscious brain processes how many more times faster than the 
conscious brain",0,1,0%,5
us population history,0,1,0%,6
utilitarianism calculation,0,1,0%,6
volume of information,0,1,0%,6
felicific calculus of bentham,0,1,0%,7
us population by year,0,1,0%,7
us population over time,0,1,0%,7
hình ảnh liên quan,0,1,0%,8
how to calculate morality,0,1,0%,9
what was the american population in 1776,0,1,0%,10
aig failure,0,1,0%,11
"bentham felicific calculus intensity duration certainty propinquity 
fecundity purity extent",0,1,0%,11
brrrrrrr meme,0,1,0%,11
corporate welfare vs social welfare 2023,0,1,0%,11
in a pie chart,0,1,0%,11
benthams hedonic calculus,0,1,0%,12
bentham’s hedonic calculus,0,1,0%,12
how much does it cost to make a drug,0,1,0%,12
junk mail,0,1,0%,12
default in finance,0,1,0%,13
free will and neuroscience,0,1,0%,13
lost decades in japan,0,1,0%,13
prepper news,0,1,0%,13
what is a market correction,0,1,0%,13
what is the financial sector,0,1,0%,13
who developed utilitarian calculus,0,1,0%,13
democracy and economic growth,0,1,0%,14
hedon and dolor,0,1,0%,14
what is correction in trading,0,1,0%,14
what is defaulting,0,1,0%,14
can you generate an image of this,0,1,0%,15
3.5% of the us population,0,1,0%,19
je veux voir,0,1,0%,19
create a graph,0,1,0%,20
texas population in 2010,0,1,0%,22
"the american revolution had the support of only one-third of the american 
colonists.",0,1,0%,30
interpreting raw data from 23andme,0,1,0%,32
hedonistische calculus,0,1,0%,34
the hedonistic calculus,0,1,0%,35
3.5% of the population,0,1,0%,36
corporate subsidies vs food stamps,0,1,0%,36
what is a 0.1 chance,0,1,0%,36
23andme raw data analysis free,0,1,0%,37
what is 3.5% of the population of the us,0,1,0%,37
federal reserve injecting money into banks,0,1,0%,38
corporate subsidies vs snap,0,1,0%,42
encyclopedia of world problems and human potential,0,1,0%,43
only 3.5 percent of a population,0,1,0%,44
3.5 rule study,0,1,0%,45
whats the population of the us,0,1,0%,45
2.3 trillion missing,0,1,0%,48
genvue genetic genie,0,1,0%,49
3.5 of the population,0,1,0%,52
3.5% rule study,0,1,0%,52
what was population of us in 1776,0,1,0%,53
aigfp,0,1,0%,56
how long is the average news story on tv,0,1,0%,58
3.5 of american population,0,1,0%,65
corporate welfare in the us,0,1,0%,67
how much of our dna is junk,0,1,0%,69
3.5 of the us population,0,1,0%,70
what is 3 of the world's population,0,1,0%,70
geneticgenie,0,1,0%,72
usps proposes changes to save $3 billion annually,0,1,0%,73
us population 1770,0,1,0%,74
23andme free,0,1,0%,75
how to interpret 23andme raw data,0,1,0%,75
us corporate welfare,0,1,0%,76
terrorists killed by the us,0,1,0%,77
us population 1776 by race,0,1,0%,77
free 23andme,0,1,0%,78
conscious and subconscious mind percentage,0,1,0%,79
interpret 23andme data,0,1,0%,79
why war is good for the economy,0,1,0%,81
cognitive bandwidth,0,1,0%,82
how many people is 3.5 of the us population,0,1,0%,82
corporate welfare examples,0,1,0%,83
what is the 3.5 percent rule,0,1,0%,83
government prints money,0,1,0%,84
us military spending compared to the rest of the world,0,1,0%,84
cost to develop a drug,0,1,0%,85
how much does it cost to make medicine,0,1,0%,85
war on drugs spending chart,0,1,0%,85
what was the population of new york city in 1776,0,1,0%,85
wisdom of the crowd examples,0,1,0%,85
50 bits per second,0,1,0%,86
cost of the war,0,1,0%,87
how much does it cost to develop a drug,0,1,0%,87
sulfanilamide cost,0,1,0%,87
how much money is missing from the pentagon,0,1,0%,88
the cost of war project,0,1,0%,88
what is a corporate subsidy,0,1,0%,88
wisdom of crowds definition,0,1,0%,88
average cost to bring a drug to market,0,1,0%,89
us national debt charts,0,1,0%,89
us government debt to gdp chart,0,1,0%,90
how much does war cost per day,0,1,0%,91
population of the 13 colonies in 1776,0,1,0%,91
population of us in 1865,0,1,0%,91
what percentage of a population is needed for a revolution,0,1,0%,91
missing pentagon money,0,1,0%,92
robert a. pape,0,1,0%,93
stock market returns obama vs trump,0,1,0%,93
us gov debt chart,0,1,0%,93
could the american revolution been avoided,0,1,0%,94
population of new york in 1776,0,1,0%,94
cost of drug development,0,1,0%,95
how much money printed since 2020,0,1,0%,95
how much money was printed since 2020,0,1,0%,95
how to identify market correction,0,1,0%,95
the concept of hedonistic calculus is associated with:,0,1,0%,95
aig credit default swaps,0,1,0%,96
money printed since 2020,0,1,0%,96
national debt vs gdp chart,0,1,0%,96
subconscious mental processing,0,1,0%,96
how many americans have been killed by iran,0,1,0%,98
if it costs your peace,0,1,0%,98
population of us in 1945,0,1,0%,99
aig scandal,0,1,0%,100
examples of corporate welfare,0,1,0%,100
how many americans has iran killed,0,1,0%,100
how much did the war cost,0,1,0%,100
how much of my taxes go to corporate subsidies,0,1,0%,100
population of american colonies in 1776,0,1,0%,100
